segment_id,surface_type,reason,verified_by
178313,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
189362,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
201410,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
205454,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
214725,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
219314,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
220976,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
225268,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
244417,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
245709,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
256824,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
262049,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
263490,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
269701,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
271334,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
279880,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
231166,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
186300,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
56293,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
253958,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
277452,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
168744,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
151606,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
247486,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
179751,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
63774,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
166703,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
99075,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
216272,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
140037,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
143369,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
135500,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
35188,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
124494,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
207050,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
27523,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
273852,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
251739,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
197297,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
122396,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
127147,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
21403,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
27716,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
281261,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
225674,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
209251,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
81730,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
121592,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
245614,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
259907,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
182914,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
38412,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
266862,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
27565,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
110782,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
145481,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
58773,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
265638,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
63328,asphalt,FINAL_USER_VERIFIED_ASPHALT_2026-08-14,USER_QGIS_MAP_REVIEW
18069,asphalt,FINAL_USER_VERIFIED_ASPHALT_CONSTRUCTION_ACCESS_RESTRICTED_2026-08-14,USER_FIELD_REVIEW
122119,asphalt,FINAL_USER_VERIFIED_ASPHALT_CONSTRUCTION_ACCESS_RESTRICTED_2026-08-14,USER_FIELD_REVIEW
72250,asphalt,FINAL_USER_VERIFIED_ASPHALT_CONSTRUCTION_ACCESS_RESTRICTED_2026-08-14,USER_FIELD_REVIEW
97543,asphalt,FINAL_USER_VERIFIED_ASPHALT_CONSTRUCTION_ACCESS_RESTRICTED_2026-08-14,USER_FIELD_REVIEW
259494,asphalt,FINAL_USER_VERIFIED_ASPHALT_CONSTRUCTION_ACCESS_RESTRICTED_2026-08-14,USER_FIELD_REVIEW
166260,asphalt,FINAL_USER_VERIFIED_ASPHALT_CONSTRUCTION_ACCESS_RESTRICTED_2026-08-14,USER_FIELD_REVIEW
28467,asphalt,FINAL_USER_VERIFIED_ASPHALT_CONSTRUCTION_ACCESS_RESTRICTED_2026-08-14,USER_FIELD_REVIEW
127887,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
212858,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
130076,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
98506,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
140271,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
68036,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
158419,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
241343,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
234867,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
112995,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
199917,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
57881,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
101341,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
274988,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
22019,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
70528,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
8556,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
86829,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
246849,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
185445,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
41528,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
114439,pavement,FINAL_USER_VERIFIED_PAVEMENT_2026-08-14,USER_QGIS_MAP_REVIEW
